Title	shield	magnetic	sure	idea	put	guy	land	cannot	bill	video	great	technology	water	moon	heat	start	love	s	look	might	u	people	wonder	makes	exploration	don	solar	anyone	energy	planet	like	years	nothing	tell	please	space	back	want	human	lot	gravity	orbit	right	sol	would	things	bring	colonizing	could	mission	still	ships	atmosphere	something	need	re	thing	stupid	rocket	real	humans	called	dream	ship	first	mars	easier	see	question	plan	colonization	t	let	low	there	that	get	much	best	resources	enough	time	hate	come	surface	even	return	it	can	oxygen	learn	life	long	make	world	way	fuel	without	going	big	colony	cold	probably	send	said	every	know	build	future	living	bad	humanity	take	good	earth	better	launch	air	new	think	live	us	sounds	help	money	many	use	you	believe	man	really	field	lunar	radiation	musk	game	well	yes	also	problem	around	go	colonize	die	base	far	we	system	one
'Hey Bill Nye, If Humans Colonize Mars, How Will We Evolve? #TuesdaysWithBill	0	0	0	0	0	0	0	0	3	2	0	0	2	0	0	1	0	4	0	0	0	2	0	0	0	0	0	0	0	1	3	1	1	0	0	3	0	1	2	0	1	0	2	0	6	1	0	0	2	0	0	0	0	0	4	0	0	0	0	0	3	3	0	0	0	8	0	0	0	0	0	2	0	0	1	1	2	1	1	0	0	0	1	0	0	3	0	2	1	0	0	2	1	0	0	2	0	2	2	0	2	0	2	0	0	0	0	0	1	0	0	0	1	0	2	0	0	2	0	2	2	2	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	2	2	0	0	0	7	0	0	0	1	0	3
Why Mars Is Better Than Venus	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	2	0	0	0	3	1	0	0	0	1	0	1	3	3	0	1	0	0	0	0	0	0	0	1	1	0	0	8	1	0	0	1	0	0	0	4	0	1	2	0	0	0	0	0	1	0	0	1	11	0	1	0	0	1	5	1	1	0	1	2	2	2	3	0	1	0	0	4	2	0	1	3	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	1	0	6	5	1	0	0	1	0	0	2	0	0	1	1	2	0	1	0	2	0	1	0	1	0	0	2	2	0	1	2	1	0	1	0	0	0
Could We Use Terraforming to Colonize Mars?	0	0	0	1	1	0	0	0	0	0	0	0	0	8	0	0	0	7	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	3	0	0	0	1	1	3	0	0	7	0	0	3	9	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	5	12	2	1	0	0	0	0	1	0	1	0	1	3	1	0	0	0	0	0	2	1	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	4	4	0	0	0	2	2	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	2	0	1	0	1	1	2
Mars Exploration Zones	0	0	0	0	2	0	1	0	0	1	1	0	0	5	0	2	0	9	0	0	1	2	0	0	2	0	1	0	0	0	9	1	0	0	3	3	0	2	2	1	0	0	0	0	1	4	0	0	3	1	0	0	0	3	4	0	0	0	1	1	0	0	2	1	3	5	0	1	0	0	0	5	1	0	1	2	1	1	1	0	1	1	0	0	0	5	0	2	3	0	0	1	1	3	1	0	0	1	2	0	0	0	0	0	1	0	0	2	1	0	0	0	1	4	0	0	0	0	1	2	0	2	0	1	0	2	2	0	0	0	2	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	1
  ! - 1 Sol 0 Mars colonization	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SpaceX Plans to Colonize Mars!	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	2	1	0	1	3	0	0	0	1	0	1	1	0	3	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	2	1	1	0	0	2	0	0	0	1	0	1	7	0	0	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0	2	0	0	1	3	1	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	2	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	2	1	0	0	0	2
Elon Musks SpaceX Mars Colonization Plan Reviewed By Dr. Robert Zubrin - Next Level Life Ep. 17	0	0	0	1	3	0	0	0	0	0	2	0	2	2	2	1	0	3	0	0	0	6	1	2	0	1	0	1	0	1	3	1	0	0	0	3	2	0	3	1	0	3	2	0	11	3	1	0	7	2	0	0	0	0	2	0	0	0	3	0	0	0	0	3	3	8	0	1	0	6	1	5	0	1	1	0	4	3	2	0	1	3	0	0	0	1	2	2	1	1	0	2	0	1	0	5	0	1	2	1	1	0	2	0	1	0	0	1	1	2	0	1	0	0	4	1	2	2	0	4	5	1	0	0	2	3	2	0	2	0	0	0	2	2	3	0	1	0	0	1	1	8	1	0	0	5	1	2	4
The Exploration and Colonization of Mars: Why Mars? Why Humans? | Dr. Joel Levine | TEDxRVA	0	0	0	0	0	1	2	1	0	1	0	1	1	0	0	0	0	5	0	0	0	2	0	0	1	0	0	1	0	4	3	3	0	0	0	5	0	1	1	0	1	0	0	0	1	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	2	2	1	1	1	8	2	1	0	3	2	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	1	1	0	0	0	1	0	3	1	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	6	1	0	0	0	0	0	0
What Does Colonizing Mars Look Like? | MARS	0	0	0	1	0	0	2	0	0	1	0	0	0	1	1	2	1	3	4	1	0	2	0	0	0	2	1	0	0	1	3	0	0	0	0	0	2	2	2	0	0	0	2	0	7	2	0	1	1	0	1	0	0	0	1	1	1	1	0	1	1	0	1	0	1	19	0	2	3	0	0	6	1	0	0	0	1	2	0	1	0	3	2	0	2	0	0	3	1	0	0	0	0	0	1	1	1	0	2	3	1	3	0	0	0	0	0	0	1	0	2	0	0	0	6	0	0	2	0	1	1	3	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	1	0	2
Colonizing Mars: The Future Belongs to SpaceX and Elon Musk	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	0	0	0	3	0	0	2	1	0	0	0	1	2	0	0	0	1	5	0	1	0	1	1	0	0	0	6	0	0	1	1	0	0	0	0	1	0	1	1	0	0	3	1	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	2	1	0	0	3	0	0	0	2	0	0	1	1	0	4	0	0	2	0	0	2	1	0	0	1	4	0	2	0	1	1	1	1	0	0	0	1	1	0	0	4	0	1	0	1	0	0	1	1	0	1	0	1	0	1
Do We Need A Moon Colony Before A Mars Colony?	0	1	1	0	0	0	0	0	0	0	0	0	0	4	0	1	0	4	0	0	0	1	0	0	0	2	0	1	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	8	0	0	2	2	0	0	0	2	0	5	0	1	0	0	0	1	0	0	0	0	7	0	0	0	0	0	4	1	0	2	1	2	0	1	1	0	0	0	1	0	2	0	1	0	0	0	0	1	3	0	1	0	1	1	0	3	0	0	0	2	1	0	3	0	1	0	0	0	1	1	0	0	0	2	3	2	2	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1
SpaceX Interplanetary Transport System	0	0	0	0	1	1	1	0	0	0	1	0	0	2	0	1	0	7	1	0	0	1	3	0	1	0	1	2	0	2	2	1	0	2	2	6	0	0	0	2	0	0	0	0	5	1	1	0	1	0	0	0	1	0	2	0	1	0	2	0	0	2	0	1	0	4	0	3	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	5	0	1	0	0	0	3	1	0	0	0	3	2	0	0	0	0	0	0	0	1	2	0	0	1	1	0	1	0	0	0	1	0	0	0	0	1	2	0	1	0	1	0	1	1	0	0	2	0	0	0	0	0	1	1	0	0	0	1	1	1	1
Elon Musk Reveals His Plan for Colonizing Mars	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	6	0	1	0	6	0	0	0	3	0	2	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	8	0	2	1	4	0	1	0	0	1	1	1	3	2	0	0	1	0	0	0	2	7	0	3	2	2	0	6	1	0	2	2	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	2	0	0	1	0	1	0	1	1	1	2	0	0	0	0	0	0	3	1	4	1	1	0	3	2	0	1	0	0	0	0	0	0	1	0	3	0	0	0	2	0	2	0	0	0	2	3	0	0	0	0	1	0	2
5 Steps to Colonising Mars in The Next 10 Years	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	4	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Can we colonize Mars? - THE BIG FUTURE Ep. 2	2	2	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	5	2	0	2	1	0	0	0	2	1	1	0	3	3	1	0	0	0	1	0	2	6	1	1	0	1	0	5	0	0	0	4	0	0	0	1	0	2	0	0	0	0	0	2	0	0	1	4	13	0	0	0	0	0	3	3	0	0	0	1	1	0	0	1	1	0	1	0	2	0	1	2	0	0	0	2	0	1	1	0	0	1	2	0	0	2	0	2	2	1	0	1	2	0	0	3	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	2	1	0	2	0	0	0	0	0	0	0	2	4	1	0	1	1	0	4
What kind of society would a Mars colony be?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Let's Try Sol 0: Mars Colonization -- Ep. #1	0	0	0	0	0	0	2	0	0	1	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	3	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	2	1	0	2	0	0	1	3	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	5	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	0	2	0	0	1	0	0	0	1	0	0	1
Why Should We Go to Mars? | MARS	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	1	0	3	2	0	0	2	2	0	1	0	0	6	0	0	0	0	2	1	5	2	3	1	0	0	0	3	0	1	0	0	0	0	0	0	0	1	1	0	0	0	2	1	0	0	0	3	11	0	0	0	0	1	6	0	0	0	1	3	0	1	0	1	1	2	0	0	2	0	2	1	0	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	1	1	0	2	1	1	1	1	0	1	0	1	6	0	2	0	2	0	1	1	2	0	0	0	0	0	0	0	1	0	1	0	0	4	0	0	1	0	1	0	0
Can Mars be Colonized  BBC Science Universe documentary	0	3	1	1	1	0	1	0	0	0	0	0	0	1	0	2	1	6	1	0	1	4	0	4	0	4	3	0	0	2	6	3	3	0	0	4	3	0	1	0	1	1	4	0	6	1	0	0	2	3	1	0	3	0	0	2	0	1	0	0	4	0	0	0	2	13	0	1	1	1	0	5	1	2	0	2	2	4	1	1	0	2	0	2	1	2	0	5	1	0	0	1	1	1	0	2	1	2	3	0	0	1	0	5	0	0	1	1	0	1	2	0	1	1	3	0	0	0	1	6	1	4	0	0	1	0	0	0	0	0	1	2	0	0	0	0	2	2	3	1	1	2	1	1	1	0	2	0	2
Mars Colonization - SpaceX Interplanetary Transport System - Full movie	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	0	4	0	2	0	3	0	1	0	0	0	2	0	2	0	8	1	2	0	1	0	1	0	0	1	1	1	0	1	1	0	2	0	0	0	0	1	0	0	0	0	0	0	3	4	10	0	0	0	2	2	5	0	0	0	0	3	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	2	2	0	2	5	0	1	0	0	0	0	5	1	0	2	0	0	0	0	0	1	4	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	3	0	0	0	2	0	2	0	0	0	0	0	0	1	4
UFOTV Presents - ALTERNATIVE 3: THE SECRET MARS COLONY	0	0	0	0	0	0	0	0	0	4	0	1	0	3	0	0	0	3	1	1	1	1	1	0	0	0	0	0	0	0	2	0	0	0	2	0	1	1	0	2	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	1	1	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	2
Escaping Earth: The Challenges of Colonizing Mars	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	2	2	2	0	3	0	0	0	0	0	5	1	1	0	3	2	2	0	0	2	1	0	0	0	0	1	0	0	0	8	1	2	1	3	0	0	0	2	0	6	2	1	0	0	0	3	0	0	2	2	6	0	0	0	0	0	7	0	2	0	0	1	0	1	0	1	2	0	0	1	2	1	1	0	3	0	2	2	1	1	3	0	1	3	0	1	0	0	0	1	0	3	0	0	0	0	0	0	1	4	0	0	0	0	0	0	1	0	0	0	4	1	0	0	0	2	0	0	0	0	0	1	1	1	0	0	4	0	0	1	1	3	0	1
Colonizing Mars | National Geographic	2	3	0	2	0	0	0	0	0	0	0	3	0	0	3	1	0	9	0	0	0	2	0	1	0	2	5	0	0	3	4	4	0	0	0	0	0	2	0	0	2	0	2	0	3	0	0	4	0	0	2	0	5	0	1	0	0	2	0	1	2	0	0	0	0	22	2	0	1	0	0	7	3	0	2	1	2	2	1	1	0	1	0	0	0	4	0	4	1	1	0	0	1	1	0	0	0	0	2	1	1	0	0	1	0	0	2	1	0	0	0	0	1	0	6	1	0	0	0	5	1	0	1	1	2	1	0	0	0	0	0	1	0	0	1	0	0	0	3	1	0	1	2	0	0	0	0	1	2
Elon Musks Mars colonization event in 5 minutes	0	0	1	0	0	2	2	0	0	1	2	0	0	2	0	0	0	5	0	1	0	2	0	0	0	1	0	1	0	0	1	0	0	0	0	3	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	2	1	1	1	0	0	0	0	2	0	0	1	0	10	0	0	0	0	2	3	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	2	0	2	0	2	1	3	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	4	3	0	0	0	0	1	0	0	0	2	0	0	1	1	0	1	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	1
Mind Blowing Secret Mars Base Footage. NASA & Elon Musk Mars Colony. Incredible Film	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	1	5	0	0	0	2	2	1	0	0	0	0	0	2	4	0	1	2	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0	0	5	0	0	1	0	0	3	0	0	0	0	1	0	0	0	0	3	0	0	0	1	0	4	0	0	0	0	0	2	1	1	0	1	1	0	1	0	0	2	0	0	0	1	0	0	0	0	1	0	2	2	0	0	1	1	0	4	0	0	1	0	1	0	1	1	0	0	0	0	1	0	2	0	1	0	0	1	0	0	1	0	0	0	0
Bill Nye Warns about Problems Colonizing Mars	0	3	1	0	0	1	0	0	7	0	0	0	0	1	2	0	1	3	0	0	0	0	0	0	0	0	1	0	0	2	1	1	1	0	0	0	0	0	0	0	0	0	1	0	7	1	0	1	2	0	4	0	2	0	0	1	0	0	0	0	0	0	0	0	0	11	0	0	0	1	1	6	0	0	0	0	0	2	0	0	0	0	0	1	0	2	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	2	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0
Life in a Mars Colony	0	0	2	0	1	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	5	0	0	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	2	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	3	13	0	0	0	2	0	4	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	3	0	0	1	3	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	2	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	1	1	0	2	0	0	0	4
Sol 0: Mars Colonization -  Episode 1	0	0	0	0	0	0	0	0	0	1	3	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	5
How Realistic Is Elon Musk's Plan to Colonize Mars?	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	2	0	0	1	0	0	0	1	0	1	0	0	0	0	4	1	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	1	5	0	0	0	1	0	1	0	0	0	2	1	0	0	0	0	0	2	2	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	3	3	1	0	0	0	2	1	0	0	1	1	0	0	1	0	0	0	0	0	0	5	0	0	0	1	0	0	1	1	0	0	0	0	0	2
SpaceX CEO Elon Musk unveils plans to colonize Mars	1	0	0	0	0	4	0	1	0	0	0	0	4	2	1	1	0	5	0	0	0	0	0	1	2	0	4	1	0	2	4	0	0	1	0	4	2	1	1	2	1	1	0	0	2	0	0	0	4	2	0	2	4	0	5	1	0	0	1	0	2	0	1	3	1	14	0	0	1	0	0	2	6	0	0	0	4	2	0	0	2	0	0	0	0	3	2	1	1	0	0	0	1	1	0	1	4	1	0	1	0	0	0	0	0	2	0	1	0	1	0	0	1	0	4	1	0	1	1	0	0	1	1	2	0	0	1	0	0	1	0	0	0	1	3	0	1	0	0	0	1	2	2	1	0	0	1	1	4
