Title	make	work	em	thank	computer	hard	video	great	s	u	services	simple	e	using	service	thanks	know	sir	like	please	web	computing	cloud	good	information	check	best	helpful	videos	um	data	much	could	explanation	new	understand	storage	tutorial	nice	it	help	you	o	explained	provide	really	t	para	get	well	excellent	one
The Three Ways to Cloud Compute	0	0	0	2	0	0	3	0	1	0	0	1	0	1	0	5	0	1	2	2	0	0	2	1	0	0	0	2	1	0	0	1	2	0	0	1	0	2	0	0	0	1	0	1	0	0	1	0	1	1	1	2
Qu'est ce que le  Cloud Computing  ?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cloud Computing Service Models - Microsoft Azure Training for Beginners - Part 3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
History of Cloud Computing	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	2	1	1	2	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
 Cloud Computing 	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Voc sabe o que  Cloud Computing?  Professor Lo Matos	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0
Cloud Computing - Full Concept by Sagar Jain	0	1	0	0	1	0	0	0	0	1	0	2	0	0	1	2	0	12	0	3	0	3	4	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	1	1	0	1
Introduction to Cloud Computing	1	0	0	4	1	0	1	4	1	0	0	0	0	0	1	4	0	0	0	1	0	3	4	2	0	0	0	0	1	0	0	4	0	0	0	3	0	0	1	1	0	0	0	1	0	0	0	0	1	2	0	0
What is cloud computing ? with a good example for beginners in TAMIL	0	0	0	4	0	0	2	1	0	0	0	0	0	2	0	3	0	0	2	2	0	6	10	2	0	0	3	1	3	0	1	1	0	1	2	1	0	0	1	0	2	0	0	4	2	2	0	0	1	2	0	0
Basic Concepts of Cloud Computing	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	2	0	2	3	1	0	1	2	8	0	0	0	0	0	0	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0
How Cloud Computing Works	0	0	0	7	1	2	1	0	2	1	0	2	0	1	0	1	0	0	0	2	0	5	6	1	0	0	1	0	0	0	0	4	0	0	0	2	0	0	2	1	2	2	0	1	0	0	1	0	1	1	0	0
Cloud Computing for beginners in hindi	0	0	0	3	0	0	5	0	0	3	2	0	0	1	0	3	1	8	0	2	0	2	3	2	0	0	0	1	4	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0
IT-GRC Kongress 2016: Gunter Dueck - Die Welt nach Cloud Computing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Cloud Computing 101	0	0	0	2	3	2	2	0	2	1	0	1	0	0	2	1	1	0	1	1	1	7	12	0	1	0	0	0	0	0	3	3	0	0	1	0	2	0	1	2	0	2	0	0	3	2	0	0	0	0	1	1
Cloud Computing Explained	0	2	0	1	0	1	5	1	0	0	0	0	0	0	0	2	0	0	0	0	0	3	7	4	1	0	5	0	0	0	0	1	1	3	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	1	0	0
cloud computing	1	0	0	0	0	0	4	0	0	2	0	0	0	0	0	1	0	8	3	3	0	1	1	1	0	0	1	0	2	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	4	0	0	1
Differences Between Cloud Computing and Virtualization	0	0	0	2	0	0	1	3	0	0	0	1	0	0	0	5	0	1	0	1	0	2	2	0	0	0	1	1	1	0	0	1	0	3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
Hora de Gabaritar Aula #01 - Cloud Computing (Computao em nuvens)	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Cloud Computing Services - Hindi - #3	3	1	0	0	1	0	3	0	0	1	1	1	0	0	1	5	1	5	3	2	1	3	4	2	0	0	0	1	2	0	0	2	0	0	1	3	0	0	1	0	2	1	0	2	1	3	1	0	0	2	1	2
Cloud Computing Tutorial for Beginners - 1 | What is Cloud Computing? | AWS Tutorial | Edureka	1	0	0	2	0	0	1	2	0	0	0	0	0	2	1	2	2	3	0	2	1	4	16	0	1	0	1	0	0	0	0	2	2	1	0	0	1	6	4	0	0	0	0	0	1	1	1	0	1	1	0	2
Cloud Computing: Que es?	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Cloud Computing in der Praxis: Wir erklren Cloud Computing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thinking Forward about cloud computing | John Easton | TEDxLancasterU	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0
Computer Basics: What is the Cloud?	3	0	0	0	3	0	2	2	4	0	0	2	0	1	0	2	0	0	1	1	0	2	7	2	2	0	0	1	0	0	0	0	1	0	0	1	2	0	0	1	0	0	0	0	0	1	2	0	1	0	1	0
O que  Cloud Computing?	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0
The End of Cloud Computing - Peter Levine	0	0	0	1	0	0	0	1	2	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0
Vishwa Bandhu Gupta Explains Cloud computing [funny] English subtitles	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	2	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
[Hindi] Cloud Computing Explained in Detail	2	0	0	2	1	0	6	1	0	0	0	0	0	0	0	0	0	4	2	3	0	4	4	3	2	0	1	1	0	0	0	0	0	0	0	2	0	0	2	0	1	0	0	2	1	0	1	0	0	1	0	0
What is Cloud Computing with AWS?	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
What is Cloud Computing with Amazon Web Services?	0	1	0	2	0	0	0	0	0	0	2	0	0	2	1	1	3	0	2	0	2	3	5	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0	2	1	1	1
O que  Cloud Computing - Computao em Nuvem	0	0	6	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0
What is Cloud Computing? - Amazon Web Services	2	1	0	0	0	0	2	2	2	0	2	0	0	0	0	0	2	0	1	0	3	6	12	0	0	0	1	2	0	0	1	1	0	1	1	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0
Cloud Computing - Hindi - #1	0	1	0	8	0	0	1	4	0	4	0	0	0	0	0	1	1	3	1	1	0	3	3	3	1	0	0	1	2	0	0	2	0	1	0	0	0	0	1	1	0	2	0	3	0	2	0	0	0	3	1	0
Changes to computer thinking - Stephen Fry explains cloud computing	0	1	0	0	3	1	5	2	0	0	0	0	0	0	1	0	1	0	2	0	0	4	6	1	0	0	3	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	2	0
Cloud Computing Fundamentals	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
