Title	make	work	put	got	looks	used	made	way	thank	video	sure	great	filament	say	getting	please	s	time	look	u	people	also	using	don	thanks	know	build	like	want	that	good	first	try	would	didn	things	need	part	much	printed	could	pretty	print	think	buy	x	nice	re	use	you	printing	love	really	see	printers	t	one	little	parts	get	d	cool	prints	even	it	acetone	printer	top
How I 3D printed the fabulous and furry lion!	0	0	0	0	1	0	1	0	1	4	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	2	0
3D Printed Airplane - P 38 Lightning | Flite Test	1	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	1	2	2	1	0	2	0	0	0	0	1	0	0	0	1	1	1	1	0	4	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	3	1	2	0	0	0	1	1	0
Metal Inserts on a 3D Print - Video #020	1	0	1	3	0	0	0	1	1	2	0	1	0	0	2	0	0	1	0	0	0	0	2	2	2	0	0	1	0	0	3	0	0	2	0	0	1	1	2	1	1	0	4	0	1	0	1	0	2	0	2	2	1	2	2	2	1	3	1	2	1	1	0	1	0	0	4	0
Best 3D Printer Under $200 - Tevo Tarantula Full Review	1	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	4	0	0	2	0	0	2	2	2	3	0	3	0	1	2	0	0	3	0	0	2	0	3	1	0	0	2	0	2	1	0	0	1	0	3	3	2	1	0	4	3	0	1	2	1	1	0	0	2	0	10	0
3D Printing - Cat Armor	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0
3D Printing: Make anything you want	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	1	1	0	0	0	0	0	5	0	1	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0
RC 3D Printed Lifeboat	3	0	0	1	0	0	0	3	0	0	0	1	0	0	0	2	1	3	0	2	0	2	1	0	1	1	2	4	0	0	0	0	2	0	0	0	0	1	2	1	0	0	1	3	1	0	2	0	2	1	1	0	1	0	1	0	1	0	0	1	1	2	0	0	1	0	1	0
3 Awesome Ideas - 3D Print Life Hacks	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	1	0	2	4	1	1	0	1	1	0	0	2	0	1	0
Apis Cor: first residential house has been printed!	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	7	2	0	1	0	1	3	0	0	1	0	2	0	0	0	0	1	0	2	0	1	0	2	1	0	0	0	0	2	0	0	2	0	1	0
3D Printed CO2 Rockets	3	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	2	0	1	1	2	0	1	2	3	0	0	0	0	3	1	0	1	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	4	1	1	0	0	1	0	0	0	0	0	0	0
3D Printing - Vaginas, Robots, & 3D Printers - 3D Nuggets	1	0	1	1	0	0	0	1	0	2	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	0	0	0	1	2	0	2	2	1	0	1	3	0	1	1	0	1	3	0	0	0	3	0	0	0
3D Printing and Testing the Makerbot Coin Sorter	1	3	0	0	0	0	0	0	0	3	0	1	0	1	0	0	2	0	1	0	0	0	0	1	0	1	0	2	0	0	0	2	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	1	2	2	1	0	0	2	0	0	0	1	2	1	0	0	0	0	0	0
17 Incredible 3D Printed Objects	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	4	0	2	0	0	1	0	2	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	1	0	1	2	0	1	0
How strong is a 3D Printed part?	1	2	2	0	0	0	1	0	0	0	0	0	0	1	0	1	1	2	0	0	0	2	0	2	0	0	0	1	1	0	2	0	2	1	0	0	1	1	0	2	2	0	4	3	0	0	0	0	0	0	0	1	1	1	1	2	1	0	1	0	1	0	0	0	1	0	0	0
3D Print Mechanical Objects - Gears !	2	3	0	2	0	3	4	1	3	1	0	3	0	2	3	1	0	1	1	1	0	0	0	0	1	1	2	2	1	0	3	0	1	4	0	3	1	2	2	1	1	0	4	5	1	0	0	0	2	0	0	1	2	0	2	2	3	0	3	4	1	2	1	1	0	0	7	2
3D Printed Chevy Camaro V8 LS3 - Full Working Model	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	2	2	0	1	1	1	1	1	0	2	0	0	0	0	0	0	2	1	0	1	0	1	2	0	0	0	0	1	0
Will 3D Printing Break Copyright?	4	0	0	1	0	1	2	0	0	2	1	0	0	0	2	0	1	1	0	0	1	1	0	3	0	1	1	2	2	0	0	0	0	2	0	5	0	0	2	0	3	0	1	1	0	0	0	1	0	1	6	0	0	1	0	6	2	0	2	1	1	0	0	2	1	0	2	0
How to 3D print a Pip-Boy!	3	1	0	0	2	0	1	1	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	2	0	0	0	0	3	1	0	0	2	1	1	0	0	0	1	0	0	0	2	0	0	1	1	1	0	2	1	1	1	0	3	0	0	0
3D print your girlfriend - Prank	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	3	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0
3D Printing the Pythagorean Cup (Greedy Cup) - Wine in your Lap!	0	1	0	0	0	0	0	0	0	4	0	5	0	0	0	1	1	0	0	0	2	1	0	0	2	0	0	1	0	0	1	0	0	2	1	0	0	0	0	1	1	0	4	0	0	0	0	0	0	0	1	2	0	1	0	3	1	1	0	1	1	3	0	0	2	0	0	0
Which 3D Printing Slicer is Best? 2016 Slicer Throw Down Part 1 - Software Overview	0	2	1	1	0	2	0	1	0	2	0	1	1	1	1	0	2	1	0	0	0	1	1	0	0	0	1	2	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0	0	2	0	5	0	2	0	0	1	1	0	0	1	1	1	1	1	5	0	2	0
3D Printed Guns (Documentary)	6	0	1	0	0	1	1	1	0	0	1	1	0	1	1	0	3	0	1	0	12	2	0	2	0	0	0	4	1	0	1	0	0	2	0	3	2	0	1	2	0	2	3	0	1	0	0	0	3	0	0	1	0	1	0	7	2	1	0	2	1	0	0	1	2	0	0	0
Own a 3D Printer? Prepare for 3D Print Requests...	0	0	1	0	2	2	0	1	0	0	0	0	3	0	0	0	2	1	0	0	0	1	1	1	1	1	0	2	2	1	1	1	0	5	0	0	2	0	2	0	1	0	3	0	0	1	0	0	2	1	1	1	2	0	0	2	1	1	1	2	2	0	0	2	2	0	6	0
Destructive testing: Which 3D prints are bulletproof?	1	2	0	1	1	0	2	0	0	3	0	1	0	2	0	0	0	1	0	0	0	3	2	0	0	1	0	4	0	0	2	0	1	6	0	0	1	1	2	1	1	0	4	0	0	0	1	0	3	0	1	1	2	2	1	0	1	0	2	0	1	1	1	0	0	0	0	0
3D Printing: Changing How We Make Our Own Products | TIME	2	0	0	0	0	1	2	0	0	0	0	1	2	0	0	2	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	3	0	1	0	0	0	1	0	2	0	2	0	0	2	2	0	0	0	1	0	0	0	1	0	3	0
FULLY 3D PRINTED COMPLETE SKATEBOARD | YOU MAKE IT WE SKATE IT EP 43	3	0	1	1	1	0	0	0	0	0	0	0	0	0	0	3	3	1	0	1	0	0	0	0	1	1	0	3	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	2	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	1	1	0	1	4	0	0	0
3D Printing AR15 Rifle on Desktop 3D Printer	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	2	0	0	2	3	2	1	0	1	0	0	0	0	0	1	0	2	0	0	0	0	4	1	2	1	1	2	0	0	0	2	0	1	0
TOP 10 3D Printed Creations	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	2	1	1	1	1	0	1	2	0	2	2	1	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	2	0	1	2	0	0	1	3	0	2	2	0	0	2	1	0	0	0	0	4	1
Deadpool Mask with Magnetic Eyes | How to 3D Print and Assemble	3	1	0	0	0	0	1	2	0	0	0	2	0	0	0	2	2	0	0	1	0	1	0	1	1	1	0	1	1	0	1	1	0	4	0	0	0	0	0	0	1	0	2	1	1	0	1	0	0	0	1	2	1	1	0	3	4	1	0	0	1	1	0	0	1	0	2	0
How to Find the Perfect Print Settings For Your 3D Printer	0	0	0	1	0	0	0	1	1	2	0	1	0	0	0	0	0	0	0	3	1	0	2	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	3	0
Printing a vase with FUS3D Printer - My home made 3D Printer	3	0	0	0	0	1	2	0	0	2	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	3	0	1	0	0	0	4	0	0	0	2	0	1	0	1	1	1	0	0	0	2	0	0	1	1	0	6	0
Amazing 3D Prints - Things for the home	1	1	0	0	1	0	3	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	1	0	3	0	0	1	0	0	2	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	2	0	1	0	0	0
3D Printed iPhone Passive Amplifier That Works!	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	1	0	1	0	0	1	0	2	2	1	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	2	1	0	0	0	1	0	3	0
Printing functional Planetary Gears on my Ultimaker 3D Printer - Assembly w/ Commentary	3	1	0	1	3	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	0	2	1	0	0	1	4	0	1	1	0	0	2	0	0	0	2	0	0	1	0	3	3	0	0	0	0	3	0	1	0	0	1	0	1	2	2	1	3	1	1	0	1	1	0	3	0
Effective and Safer 3D Print Smoothing with Epoxy not Acetone	0	2	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	2	0	1	1	3	1	1	2	1	0	1	1	0	0	1	3	1	0	1	0	0	1	0	2	0	4	0	0	0	0	0	1	0	0	0	0	1	0	3	0	0	1	0	1	1	0	0	2	3	0	0
PLA vs ABS | What's the Difference for 3D Printing?	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	2	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	2	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	1	2	0	0	2	0	2	2	0	0	0	1	0	0	0	0	0	1	0
The impossible 3D Print v2	2	1	0	0	0	0	1	0	2	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	1	2	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	2	0
3D Printed Concrete Castle	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	2	0	0	0	1	0	0	0	0	0	2	0	0	0	1	2	0	1	1	0	0	0
3D Printing the Worlds Largest Hairy Lion on the gMax 3D Printer using MakeShaper PLA	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	2	0	0	0	1	0	1	0
