Title	deus	work	put	got	way	thank	great	say	s	legs	would	people	using	don	arms	think	cut	like	bionic	years	technology	want	human	never	know	control	good	better	right	arm	need	could	still	new	future	limbs	something	fucking	thing	real	really	lost	back	t	prosthetic	get	bionics	can	ex	cool	time	left	hand	leg	even	it	amazing	one
Body Builders: the science and technology of bionic limbs	0	1	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	2	2	0	3	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	2	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	1	1	1	1	0
Virtual reality: training amputees to use 'bionic' limbs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Open Bionics: 3D printed prosthetic limbs - Ultimaker: 3D Printing Story	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0
The Robot-Arm Prosthetic Controlled by Thought	0	2	1	0	0	0	0	0	2	0	3	0	0	0	1	0	1	2	0	2	1	2	0	1	0	0	0	0	0	5	0	0	0	1	1	0	0	0	0	0	2	0	1	1	1	1	0	0	0	1	1	0	1	0	1	0	0	0
Mind control: Australian-made bionic spine moves robotic limbs using your thoughts - TomoNews	0	0	0	0	0	0	1	0	3	0	1	1	2	1	0	0	0	3	3	1	0	0	0	0	1	2	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	2	1	0
Bionic Limbs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Home-made BIONIC ARM: Talented engineer revives paralyzed limb using scrap metal	0	5	2	1	1	0	0	2	5	0	4	3	3	3	2	2	0	10	7	2	1	1	2	0	3	3	0	1	2	15	1	4	2	1	0	0	3	1	4	2	5	0	2	9	0	1	0	3	0	0	1	2	3	0	4	3	0	2
New bionics let us run, climb and dance | Hugh Herr	0	0	1	0	0	1	2	2	2	2	6	0	0	2	0	0	0	1	3	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	1	0	3	0	1	3	1	0	1	1	0	0	3	0	0	1	2
Meet the Double Amputee Building the New Bionic Man	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	3	1	0	0	0	0	0	2	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Mechanical Legs  Best Prosthetic Leg Vanderbilt Prosthesis  most Advanced Bionic Limb Technology	0	0	0	0	1	0	1	0	1	2	1	0	1	0	0	0	0	2	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	1	0	0
Can Prosthetics Outperform Real Limbs? | Cyborg Nation	0	2	0	0	0	0	1	0	1	2	1	3	0	0	0	1	0	0	1	0	0	0	2	1	0	0	0	2	0	0	2	1	1	0	0	4	0	0	0	2	0	0	0	1	3	0	0	1	0	0	0	0	0	1	0	1	0	1
New Bionics Let Us Run, Climb and Dance | Hugh Herr | TED Talks	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bionic limbs integrated to bone, nerves, and muscles | Max Ortiz Catalan | TEDxGteborg	0	2	0	0	1	1	0	0	3	0	2	2	2	0	4	2	0	1	3	1	2	1	5	0	1	0	2	1	1	2	0	3	0	0	2	2	0	0	0	1	0	2	0	2	0	2	0	1	0	1	2	0	1	1	2	1	1	0
Bodyhack | Metal Gear Man - PART 1	1	0	0	1	0	0	0	0	3	0	2	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	3	2	0	0	0	0	0	1	0	1	0	0	2	0	1	0	0	0	0	1	2	0	2	0	0	0	2	0	1
The Collective Project: Robert Downey Jr. Delivers a Real Bionic Arm	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0
Augmented Future Open Bionics Trailer - Deus EX: Mankind Divided	3	0	0	0	0	0	1	0	2	0	0	3	0	1	1	0	0	1	1	1	2	0	0	1	0	1	0	0	0	2	3	1	0	0	2	5	1	0	2	2	0	1	0	3	0	1	2	2	2	1	1	0	0	0	0	2	4	2
Bionic Legs, Eyes, Arms and Other Super Human Prostheses	1	1	3	0	3	1	0	2	0	2	1	7	0	6	2	1	1	3	3	0	2	1	3	1	1	0	2	3	1	3	0	3	1	0	1	3	2	2	2	1	0	2	0	8	0	4	0	0	1	0	1	3	0	1	1	0	1	3
Bionic Spine to function Robotic Limbs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Building bionic limbs	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bionic limbs for military vets allow them to go back to work	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Watch: Bionic arm can be controlled by brain	0	0	0	0	0	0	0	0	4	0	2	0	0	1	1	2	0	7	4	1	6	0	0	1	1	1	2	0	0	3	1	2	0	2	0	0	2	1	0	0	2	0	0	1	0	0	0	1	0	0	1	0	0	0	1	2	1	1
Bionic limbs transform lives	1	0	0	1	1	0	0	0	1	0	0	2	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	2	0	1	1	0	0	0	0	1	1	0	1	1	1	1	0	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0
Meet the Runway Model with One of the World's Most Advanced Prosthetic Limbs | Mashable  Docs	1	0	0	0	0	0	0	1	5	0	1	1	0	0	1	1	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	2	5	0	0	1	1	0	0	0	0	0	1	0	2
Future Tech: Bionic Limbs and More!	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Augmented Future - Open Bionics  Deus Ex  Razer	3	1	0	1	1	0	1	0	2	0	4	0	0	0	1	1	1	2	3	0	1	1	1	0	0	1	0	1	1	10	1	2	3	1	1	0	0	0	1	3	1	0	0	1	0	5	3	1	3	2	0	2	6	0	2	1	0	1
Living With Future Prosthetics	0	0	0	2	2	0	0	1	4	0	1	0	0	4	2	1	0	7	4	0	0	1	3	1	1	4	2	0	3	5	0	0	1	1	3	0	0	0	1	1	1	0	0	6	2	0	0	1	0	2	0	0	4	0	0	1	0	4
'Bionic Spinal Cord' To Use Thought To Move Robotic Limbs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
